Dessert,Ingredients,,,,,,,,,
Cassava Cake,cassava,,,,,,,,,
Cassava Cake,coconut cream,,,,,,,,,
Cassava Cake,evaporated milk,,,,,,,,,
Cassava Cake,eggs,,,,,,,,,
Cassava Cake,butter,,,,,,,,,
Cassava Cake,quick-melt cheese,,,,,,,,,
Cassava Cake,condensed milk,,,,,,,,,
Cassava Cake,white sugar,,,,,,,,,
Bibingka,rice flour,,,,,,,,,
Bibingka,salt,,,,,,,,,
Bibingka,baking powder,,,,,,,,,
Bibingka,butter,,,,,,,,,
Bibingka,sugar,,,,,,,,,
Bibingka,coconut milk,,,,,,,,,
Bibingka,fresh milk,,,,,,,,,
Bibingka,salted duck egg,,,,,,,,,
Bibingka,cheese,,,,,,,,,
Bibingka,eggs,,,,,,,,,
Bibingka,coconut,,,,,,,,,
Bibingka,banana leaf,,,,,,,,,
Banana Bread,banana,,,,,,,,,
Banana Bread,white sugar,,,,,,,,,
Banana Bread,all purpose flour,,,,,,,,,
Banana Bread,eggs,,,,,,,,,
Banana Bread,cooking oil,,,,,,,,,
Banana Bread,salt,,,,,,,,,
Banana Bread,vanilla extract,,,,,,,,,
Banana Bread,baking soda,,,,,,,,,
Biko,glutinous rice,,,,,,,,,
Biko,water,,,,,,,,,
Biko,brown sugar,,,,,,,,,
Biko,coconut milk,,,,,,,,,
Biko,salt,,,,,,,,,
Leche Flan,eggs,,,,,,,,,
Leche Flan,condensed milk,,,,,,,,,
Leche Flan,fresh milk,,,,,,,,,
Leche Flan,white sugar,,,,,,,,,
Leche Flan,vanilla extract,,,,,,,,,
Yema,condensed milk,,,,,,,,,
Yema,peanuts,,,,,,,,,
Buko Pandan,coconut,,,,,,,,,
Buko Pandan,condensed milk,,,,,,,,,
Buko Pandan,all purpose cream,,,,,,,,,
Buko Pandan,gelatin,,,,,,,,,
Buko Pandan,water,,,,,,,,,
Buko Pandan,sago,,,,,,,,,
Taho,tofu,,,,,,,,,
Taho,sago,,,,,,,,,
Taho,water,,,,,,,,,
Taho,brown sugar,,,,,,,,,
Taho,water,,,,,,,,,
Taho,vanilla extract,,,,,,,,,
Turon,banana,,,,,,,,,
Turon,jackfruit,,,,,,,,,
Turon,white sugar,,,,,,,,,
Turon,lumpia wrapper,,,,,,,,,
Turon,cooking oil,,,,,,,,,
Maja Blanca,coconut milk,,,,,,,,,
Maja Blanca,cornstarch,,,,,,,,,
Maja Blanca,condensed milk,,,,,,,,,
Maja Blanca,fresh milk,,,,,,,,,
Maja Blanca,white sugar,,,,,,,,,
Maja Blanca,sweet corn,,,,,,,,,
Maja Blanca,coconut,,,,,,,,,
Puto Bumbong,purple rice,,,,,,,,,
Puto Bumbong,glutinous rice,,,,,,,,,
Puto Bumbong,water,,,,,,,,,
Puto Bumbong,brown sugar,,,,,,,,,
Puto Bumbong,coconut,,,,,,,,,
Puto Bumbong,butter,,,,,,,,,
Saging con Hielo,banana,,,,,,,,,
Saging con Hielo,brown sugar,,,,,,,,,
Saging con Hielo,water,,,,,,,,,
Saging con Hielo,vanilla extract,,,,,,,,,
Saging con Hielo,salt,,,,,,,,,
Saging con Hielo,ice,,,,,,,,,
Saging con Hielo,evaporated milk,,,,,,,,,
Ube Halaya,purple yam,,,,,,,,,
Ube Halaya,coconut milk,,,,,,,,,
Ube Halaya,white sugar,,,,,,,,,
Ube Halaya,cooking oil,,,,,,,,,
Sapin Sapin,rice flour,,,,,,,,,
Sapin Sapin,coconut milk,,,,,,,,,
Sapin Sapin,white sugar,,,,,,,,,
Sapin Sapin,condensed milk,,,,,,,,,
Sapin Sapin,jackfruit,,,,,,,,,
Sapin Sapin,purple yam,,,,,,,,,
Sapin Sapin,vanilla extract,,,,,,,,,
Sapin Sapin,ube extract,,,,,,,,,
Sapin Sapin,cooking oil,,,,,,,,,
Buko Pie,all purpose flour,,,,,,,,,
Buko Pie,butter,,,,,,,,,
Buko Pie,salt,,,,,,,,,
Buko Pie,vegetable shortening,,,,,,,,,
Buko Pie,water,,,,,,,,,
Buko Pie,coconut,,,,,,,,,
Buko Pie,white sugar,,,,,,,,,
Buko Pie,cornstarch,,,,,,,,,
Buko Pie,coconut water,,,,,,,,,
Buko Pie,evaporated milk,,,,,,,,,
